Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
Enterprise Security,nanodegree,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by personnel on a daily basis.",intermediate,4 Months,,,"Device Hardening Strategy,  Cybersecurity Policy Writing,  Zero Trust Security Model,  Data Encryption,  Backup Strategy,  API Security,  Cloud Hardening Strategy,  Container Vulnerability Management,  IT Asset Management,  Secure Network Architecture Design,  Cybersecurity Compliance",Linux and Azure,,https://www.udacity.com/course/enterprise-security-nanodegree--nd0035
AI Engineer using Microsoft Azure,nanodegree,"Master the skills necessary to implement machine learning models, build end-to-end AI solutions, and manage continuous improvement of an Azure AI solution.",advanced,3 Months,,,"Object Detection,  Image Classification,  Form Recognition,  Facial Recognition,  Face Detection,  Azure Cognitive Services,  Microsoft Bot Framework,  Azure Conversational AI Agents,  Architecture Diagramming,  Requirements Gathering,  Intent Recognition,  Key Phrase Extraction,  Azure Form Recognizer,  Bounding Boxes","Python, Microsoft Azure, JSON and REST programming semantics",Microsoft,https://www.udacity.com/course/ai-engineer-using-microsoft-azure--nd073
Programming for Data Science with R,nanodegree,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",beginner,3 Months,4.8,95.0,"R, SQL, Git",None,Mode,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118
Zero Trust Security,course,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,intermediate,1 Month,,,"Zero Trust Pillars,  Zero Trust Security Model,  Zero Trust Deployment Strategy,  Zero Trust Maturity Model,  Zero Trust Algorithms,  Cybersecurity Risk Management,  Perimeter Security",Familiarity with basic cybersecurity concepts and practices,,https://www.udacity.com/course/zero-trust-security--cd11535
Cybersecurity for Business Leaders,nanodegree,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,beginner,1 Month,,,"Basic Cybersecurity Implementation,  Threat Actors,  Security Devices,  Vulnerability Assessment,  Security Risk Classification,  Cybersecurity Fluency,  Cybersecurity Risk Management,  Cybersecurity Training Strategies,  Social Engineering,  Phishing,  Cybersecurity incident response playbooks,  Cybersecurity Regulations and Standards",No prior experience is required,,https://www.udacity.com/course/cybersecurity-for-business-leaders--nd1202
Ethical AI,course,"Learn to apply ethical AI to minimize bias, while maximizing fairness and explainability, ensuring an ethical future for all.",intermediate,1 Month,,,"AI Fairness,  AI Governance,  AI Transparency,  Model Bias Analysis,  Model Bias Mitigation,  Explainable AI,  Ethical AI",AI & machine learning fundamentals,,https://www.udacity.com/course/ethical-ai--cd1827
AWS Machine Learning Foundations Course,free,Learn what machine learning is and the steps involved in building and evaluating models. Gain in demand skills needed at businesses working to solve challenges with AI.,intermediate,2 Months,,,"Computer vision,  Reinforcement learning,  Generative AI,  Machine Learning,  Object-oriented programming",,,https://www.udacity.com/course/aws-machine-learning-foundations--ud065
Introduction to Machine Learning using Microsoft Azure,free,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs — from data import, transformation and management to training, validating and evaluating models.",intermediate,2 Months,,,"Machine Learning,  Azure,  Model Training,  Supervised & Unsupervised Learning,  Responsible AI",,Microsoft Azure,https://www.udacity.com/course/introduction-to-machine-learning-using-microsoft-azure--ud00333
AI Fundamentals,free,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.",beginner,1 Month,,,"Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI",,Microsoft Azure,https://www.udacity.com/course/ai-fundamentals--ud099
Linear Algebra Refresher Course,free,Learn linear algebra by doing: you will code your own library of linear algebra functions!,intermediate,4 Months,,,"Algebra, Python, Vectors, Intersections",,,https://www.udacity.com/course/linear-algebra-refresher-course--ud953
Machine Learning: Unsupervised Learning,free,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,intermediate,1 Month,,,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741
Big Data Analytics in Healthcare,free,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.",intermediate,2 Months,,,"Data Analytics, Health Care Applications, Algorithms",,Georgia Institute of Technology,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758
Intel® Edge AI Fundamentals with OpenVINO™,free,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,intermediate,1 Month,,,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",,,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132
Artificial Intelligence,free,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate,4 Months,,,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",,Georgia Institute of Technology,https://www.udacity.com/course/artificial-intelligence--ud954
Secure and Private AI,free,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,advanced,2 Months,,,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",,Facebook AI,https://www.udacity.com/course/secure-and-private-ai--ud185
Model Building and Validation,free,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,advanced,8 Weeks,,,"Questioning, Modeling, Validation, Data Analysis, QMV Process",,AT&T,https://www.udacity.com/course/model-building-and-validation--ud919
Data Visualization and D3.js,free,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.,intermediate,7 Weeks,,,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",,Zipfian,https://www.udacity.com/course/data-visualization-and-d3js--ud507
Machine Learning for Trading,free,Implement machine learning based strategies to make trading decisions using real-world data.,intermediate,4 Months,,,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning-for-trading--ud501
Machine Learning,free,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.",intermediate,4 Months,,,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning--ud262
Intro to Hadoop and MapReduce,free,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!",intermediate,1 Month,,,"Big Data, Hadoop, MapReduce",,Cloudera,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617
Real-Time Analytics with Apache Storm,free,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!",intermediate,2 Weeks,,,"Data Analysis, Real-time Analytics, Apache Storm",,Twitter,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381
A/B Testing,free,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ",intermediate,1 Month,,,"A/B tests,  Results Analysis,  Statistical Significance ",,Google,https://www.udacity.com/course/ab-testing--ud257
Data Analysis with R,free,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,intermediate,2 Months,,,"R, Exploratory Data Analysis, Data Visualization",,Facebook,https://www.udacity.com/course/data-analysis-with-r--ud651
Knowledge-Based AI: Cognitive Systems,free,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,advanced,7 Weeks,,,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",,Georgia Institute of Technology,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409
Introduction to TensorFlow Lite,free,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.,intermediate,2 Months,,,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",,TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190
Introduction to Computer Vision,free,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",intermediate,4 Months,,,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-computer-vision--ud810
Intro to TensorFlow for Deep Learning,free,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers.",intermediate,2 Months,,,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",,TensorFlow,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187
Eigenvectors and Eigenvalues,free,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,beginner,1 Week,,,"Linear Algebra, Eigenvectors, Eigenvalues",,,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104
Intro to Artificial Intelligence,free,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",intermediate,4 Months,,,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models",,,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
Artificial Intelligence for Robotics,free,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.",advanced,2 Months,,,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping",,Georgia Institute of Technology,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373
Intro to Deep Learning with PyTorch,free,Learn the basics of deep learning and implement your own deep neural networks with PyTorch,intermediate,2 Months,,,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",,Facebook AI,https://www.udacity.com/course/deep-learning-pytorch--ud188
AWS DeepRacer,free,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.,intermediate,2 Weeks,,,"Machine Learning, Reinforcement Learning, AWS DeepRacer",,AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014
Reinforcement Learning,free,Learn how to engage with machine learning from a theoretical perspective. Explore automated decision-making and dive into advanced algorithms. ,advanced,4 Months,,,"Reinforcement Learning,  Temporal Difference,  Game Theory,  Partially Observable Markov Decision Processes (POMDP),  Machine Learning",,Georgia Institute of Technology,https://www.udacity.com/course/reinforcement-learning--ud600
Introduction to Machine Learning Course,free,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity.",intermediate,10 Weeks,,,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation",,,https://www.udacity.com/course/intro-to-machine-learning--ud120
Microsoft Power Platform,free,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",beginner,1 Month,,,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder",,Microsoft,https://www.udacity.com/course/microsoft-power-platform--ud091
Web Tooling & Automation,free,"In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.",intermediate,3 Weeks,,,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint",,Google,https://www.udacity.com/course/web-tooling-automation--ud892
Front End Frameworks,free,"Explore and build interactive, single-page applications with popular JavaScript frameworks!",advanced,8 Weeks,,,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing",,Google,https://www.udacity.com/course/front-end-frameworks--ud894
Responsive Web Design Fundamentals,free,Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.,intermediate,2 Weeks,,,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox",,Google,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893
How to Install Android Studio,free,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,beginner,1 Day,,,"Android, Android Studio, Java",,,https://www.udacity.com/course/how-to-install-android-studio--ud808
Website Performance Optimization,free,"Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!",intermediate,1 Week,,,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations",,Google,https://www.udacity.com/course/website-performance-optimization--ud884
iOS Networking with Swift,free,Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.,advanced,3 Months,,,"Networking, URLSession, JSON Parsing",,,https://www.udacity.com/course/ios-networking-with-swift--ud421
JavaScript Design Patterns,free,Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.,advanced,6 Weeks,,,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",,,https://www.udacity.com/course/javascript-design-patterns--ud989
Android Performance,free,"Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.",advanced,4 Weeks,,,"Android Development, Performance, Optimization",,Google,https://www.udacity.com/course/android-performance--ud825
Responsive Images,free,Go beyond image tags! Learn how to make images a part of your responsive design workflow.,intermediate,2 Weeks,,,"Responsive Images, Mobile Image debugging, Creating responsive graphics",,Google,https://www.udacity.com/course/responsive-images--ud882
Xcode Debugging,free,"In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.",advanced,3 Weeks,,,"Debugging, LLDB",,,https://www.udacity.com/course/xcode-debugging--ud774
Build Native Mobile Apps with Flutter,free,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,intermediate,2 Weeks,,,Android Development,,Google,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905
JavaScript Promises,free,Learn how to simplify asynchronous work with Native JavaScript Promises!,advanced,3 Weeks,,,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",,Google,https://www.udacity.com/course/javascript-promises--ud898
UIKit Fundamentals,free,"Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.",intermediate,2 Months,,,"AutoLayout, Navigation, Table Views, Collection Views",,,https://www.udacity.com/course/uikit-fundamentals--ud788
Client-Server Communication,free,"Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.",advanced,5 Weeks,,,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",,Google,https://www.udacity.com/course/client-server-communication--ud897
What is Programming?,free,This course is your first step towards a career in programming.,beginner,1 Day,,,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",,,https://www.udacity.com/course/what-is-programming--ud994
Building High Conversion Web Forms,free,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.",intermediate,2 Weeks,,,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms",,Google,https://www.udacity.com/course/building-high-conversion-web-forms--ud890
Software Architecture & Design,free,Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.,intermediate,2 Months,,,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",,Georgia Institute of Technology,https://www.udacity.com/course/software-architecture-design--ud821
Intro to Information Security,free,,intermediate,,,,"Software Security, Cryptography, Network Security, Privacy, Public Policy",,Georgia Institute of Technology,https://www.udacity.com/course/intro-to-information-security--ud459
Authentication & Authorization: OAuth,free,Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.,intermediate,2 Weeks,,,"Flask, OAuth 2.0, Authentication & Authorization, Python",,,https://www.udacity.com/course/authentication-authorization-oauth--ud330
Intro to iOS App Development with Swift,free,Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.,intermediate,1 Month,,,"Swift, UIKit, AVFoundation",,,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585
Introduction to Operating Systems,free,"Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.",intermediate,2 Months,,,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems",,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-operating-systems--ud923
Web Accessibility,free,"Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.",advanced,2 Weeks,,,"Accessibility, Screen Readers, Focus, Semantics, ARIA",,Google,https://www.udacity.com/course/web-accessibility--ud891
Android Basics: Data Storage,free,"In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!",beginner,8 Weeks,,,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design",,Google,https://www.udacity.com/course/android-basics-data-storage--ud845
Scalable Microservices with Kubernetes,free,"This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.",intermediate,1 Month,,,"Microservices, Docker, Kubernetes, Deploying Microservices",,Google,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615
Developing Android Apps with Kotlin,free,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,intermediate,2 Months,,,Android Development,,Google,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012
Browser Rendering Optimization,free,This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.,advanced,1 Month,,,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",,Google,https://www.udacity.com/course/browser-rendering-optimization--ud860
Learn Swift Programming Syntax,free,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.",intermediate,3 Weeks,,,"Variables and Constants, Control Flow, Functions, Optionals, OOP",,,https://www.udacity.com/course/learn-swift-programming-syntax--ud902
Offline Web Applications,free,Learn how to develop offline-first web application using Service Workers and IndexedDB.,intermediate,3 Weeks,,,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",,Google,https://www.udacity.com/course/offline-web-applications--ud899
Kotlin for Android Developers,free,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.",advanced,1 Week,,,"Kotlin, Android",,,https://www.udacity.com/course/kotlin-for-android-developers--ud888
UX Design for Mobile Developers,free,This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.,beginner,6 Weeks,,,"Android, UX Design, User-Centered Design",,Google,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849
Software Development Process,free,"Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.",intermediate,3 Months,,,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology",,Georgia Institute of Technology,https://www.udacity.com/course/software-development-process--ud805
Data Visualization in Tableau,free,Learn the fundamentals of data visualization and practice communicating with data.,beginner,3 Weeks,,,"Tableau, Design of Visualizations, Visual Encodings",,,https://www.udacity.com/course/data-visualization-in-tableau--ud1006
Intro to Progressive Web Apps,free,In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!,intermediate,2 Weeks,,,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",,Google,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811
Writing READMEs,free,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,beginner,3 Days,,,"README, Markdown, Making code easier to read",,,https://www.udacity.com/course/writing-readmes--ud777
Software Analysis & Testing,free,"This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.",intermediate,16 Weeks,,,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution",,Georgia Institute of Technology,https://www.udacity.com/course/software-analysis-testing--ud333
iOS Persistence and Core Data,free,"Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.",advanced,2 Months,,,"Data Persistence, Core Data, UserDefaults, FileManager",,,https://www.udacity.com/course/ios-persistence-and-core-data--ud325
Computer Networking,free,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,intermediate,3 Months,,,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",,Georgia Institute of Technology,https://www.udacity.com/course/computer-networking--ud436
Firebase Analytics: iOS,free,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution",intermediate,1 Day,,,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links",,Google,https://www.udacity.com/course/firebase-analytics-ios--ud353
Human-Computer Interaction,free,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.",intermediate,16 Weeks,,,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping",,Georgia Institute of Technology,https://www.udacity.com/course/human-computer-interaction--ud400
2D Game Development with libGDX,free,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.",intermediate,8 Weeks,,,"LibGDX, Game Development, 2D",,Amazon Appstore for Android,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405
Intro to jQuery,free,Learn how to access and modify the DOM with ease using jQuery!,intermediate,2 Days,,,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",,,https://www.udacity.com/course/intro-to-jquery--ud245
Cyber-Physical Systems Security,free,This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.,intermediate,16 Weeks,,,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",,Georgia Institute of Technology,https://www.udacity.com/course/cyber-physical-systems-security--ud279
How to create <anything> in Android,free,Learn to implement the newest Android user interface components while building apps in Android Studio.,beginner,4 Weeks,,,"Android, UI, App Development",,,https://www.udacity.com/course/how-to-create-anything-in-android--ud802
Introduction to Graduate Algorithms,free,Learn advanced techniques for designing algorithms and apply them to hard computational problems.,advanced,3 Months,,,"Android, UI, App Development",,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401
Dynamic Web Applications with Sinatra,free,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.",intermediate,2 Weeks,,,"Ruby, Sinatra, Building web applications",,,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268
How to Make a Platformer Using libGDX,free,"This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.",intermediate,8 Weeks,,,"LibGDX, Game Development, Asset management",,Amazon Appstore for Android,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406
JavaScript Testing,free,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.,intermediate,2 Weeks,,,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",,,https://www.udacity.com/course/javascript-testing--ud549
Object-Oriented JavaScript,free,,intermediate,3 Weeks,,,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",,,https://www.udacity.com/course/object-oriented-javascript--ud711
Localization Essentials,free,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.",beginner,2 Weeks,,,"Localization, Google Translator Toolkit, Localization at Google",,Google,https://www.udacity.com/course/localization-essentials--ud610
Compilers: Theory and Practice,free,This course teaches the theory and practice behind building compilers for higher level programming languages.,intermediate,,,,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",,Georgia Institute of Technology,https://www.udacity.com/course/compilers-theory-and-practice--ud168
HTML5 Canvas,free,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.,beginner,2 Weeks,,,"HTML5 Canvas, Canvas2D, Creating animation",,,https://www.udacity.com/course/html5-canvas--ud292
Object Oriented Programming in Java,free,Learn how to apply powerful object-oriented programming concepts in Java,intermediate,4 Weeks,,,"Object-Oriented Programming, Java, User Interaction",,,https://www.udacity.com/course/object-oriented-programming-in-java--ud283
Designing RESTful APIs,free,Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.,intermediate,3 Weeks,,,"Flask, REST APIs, Python",,,https://www.udacity.com/course/designing-restful-apis--ud388
GT - Refresher - Advanced OS,free,"This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT ""Advanced Operating Systems"" sequence.",intermediate,3 Weeks,,,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking",,Georgia Institute of Technology,https://www.udacity.com/course/gt-refresher-advanced-os--ud098
Intro to JavaScript,free,"Learn the fundamentals of JavaScript, the most popular programming language in web development.",beginner,2 Weeks,,,"JavaScript, Conditionals, Loops, Data Types & Variables",,,https://www.udacity.com/course/intro-to-javascript--ud803
Grand Central Dispatch (GCD),free,Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.,intermediate,2 Weeks,,,"Closures, GCD",,,https://www.udacity.com/course/grand-central-dispatch-gcd--ud576
Continuous Integration and Deployment,free,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.",intermediate,2 Days,,,"Continuous Integration, BuddyBuild, Automated Testing",,Buddybuild,https://www.udacity.com/course/continuous-integration-and-deployment--ud1030
Swift for Beginners,free,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.",beginner,7 Days,,,"Variables and Constants, Strings, Control Flow, Functions",,,https://www.udacity.com/course/swift-for-beginners--ud1022
Intro to Statistics,free,"Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.",beginner,2 Months,,,"Probability, Descriptive Statistics, Inferential Statistics",,,https://www.udacity.com/course/intro-to-statistics--st101
Intro to HTML and CSS,free,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.",beginner,3 Weeks,,,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",,,https://www.udacity.com/course/intro-to-html-and-css--ud001
Introduction to Python Programming,free,"In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries.",beginner,5 Weeks,,,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",,,https://www.udacity.com/course/introduction-to-python--ud1110
Introduction to Virtual Reality,free,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.",beginner,2 Weeks,,,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS",,Google VR,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012
Objective-C for Swift Developers,free,"Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.",intermediate,5 Weeks,,,"iOS, Swift, Objective-C, Control Flow Syntax",,"Venmo, Lyft",https://www.udacity.com/course/objective-c-for-swift-developers--ud1009
Interactive 3D Graphics,free,"This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.",intermediate,2 Months,,,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders",,Autodesk,https://www.udacity.com/course/interactive-3d-graphics--cs291
